Stock,Model,Window,Seed,MAE,MSE,RMSE,MAPE,R2,Epochs Run,Test Points
Maruti,BiLSTM,3,16,308.97018860062093,176828.30116293134,420.5095732119916,2.8138736852927044,0.9238011624064846,25,614
Maruti,BiLSTM,3,17,575.6516924432512,644750.2373550005,802.9634097236315,5.077285010326378,0.7221642785601041,85,614
Maruti,BiLSTM,3,18,318.3631166340086,192916.64119270298,439.2227694379049,2.8708271780028634,0.9168683761894849,58,614
Maruti,LSTM,5,16,406.66118706597223,296865.8299211061,544.8539528360844,3.6889263448454677,0.8718347248951961,21,612
Maruti,LSTM,5,17,334.82600432751224,198367.97164437507,445.3851946847527,3.0659533068002363,0.9143590029726903,51,612
Maruti,LSTM,5,18,789.1090710209866,1018073.7939346448,1008.9964290990553,7.116910718935728,0.5604690916724855,21,612
Maruti,BiLSTM,5,16,417.3290608723958,292664.74151205743,540.9849734623481,3.8102240057421217,0.8736484521666319,27,612
Maruti,BiLSTM,5,17,371.3449523526859,269930.43918275327,519.5483030313478,3.318966194783172,0.8834634858238413,42,612
Maruti,BiLSTM,5,18,456.9359338299122,361060.5281964373,600.8831235743248,4.138267004220431,0.8441200796397478,12,612
Maruti,LSTM,10,16,477.116110385348,356449.5946633643,597.0339979124843,4.3667279109418855,0.8453636205399329,50,607
Maruti,LSTM,10,17,862.7141213833402,1168456.4393521126,1080.9516359912282,7.8205975941673,0.49309558478007465,12,607
Maruti,LSTM,10,18,547.2225476536759,453071.42654146394,673.1058063495396,5.038596736736599,0.803446753521079,29,607
Maruti,BiLSTM,10,16,273.8278627599876,136056.3096783652,368.8581159177133,2.5229970626461538,0.9409755111343868,52,607
Maruti,BiLSTM,10,17,496.0405522806837,438709.22596856987,662.3512859265617,4.42815649805097,0.8096774204398312,100,607
Maruti,BiLSTM,10,18,503.0339962803748,454596.4915756629,674.237711475458,4.4833564763631575,0.8027851437483077,95,607
Maruti,LSTM,15,16,435.96309096631023,323285.9800940752,568.5824303424045,3.9795610978182094,0.8594079635488234,19,602
Maruti,LSTM,15,17,432.8656261355378,308159.9673644471,555.1215789036191,3.9731064473317903,0.865986030845234,24,602
Maruti,LSTM,15,18,639.1718717556063,698868.049006577,835.983282731525,5.738534615167467,0.6960731727620748,17,602
Maruti,BiLSTM,15,16,341.56666742369185,183426.75558550493,428.2834990815137,3.1888263941557318,0.92023056149885,41,602
Maruti,BiLSTM,15,17,568.1030184216673,565815.0849775915,752.2068099782077,5.067199365720882,0.7539358340604607,100,602
Maruti,BiLSTM,15,18,245.5358221618044,109617.73722038117,331.08569467795064,2.2896618934727506,0.9523289537563656,30,602
Maruti,LSTM,20,16,596.9747034325272,547164.0195906243,739.705359985058,5.464654585992596,0.7613560746607575,18,597
Maruti,LSTM,20,17,304.2549204355109,167045.15190404066,408.7115754465986,2.8062223387165424,0.9271437643339636,31,597
Maruti,LSTM,20,18,566.1401219967023,565592.0860222424,752.0585655534032,5.077860063006089,0.7533187294549379,16,597
Maruti,BiLSTM,20,16,418.93927646042715,286016.7077298476,534.805298898438,3.837720849162798,0.875254681591956,25,597
Maruti,BiLSTM,20,17,525.6920679242567,485132.2234386563,696.5143382864823,4.6922044014400335,0.7884110541541551,66,597
Maruti,BiLSTM,20,18,826.1020123403475,1403691.185931309,1184.7747405862892,7.194175662556641,0.3877843524408454,100,597
Maruti,LSTM,30,16,492.69072748083477,356860.0283896456,597.3776262881341,4.569341744034528,0.8442805372213398,26,587
